product_no,brand,category,link,price,description,seller_id,name,image_link
15,Recording the Masters,Аудиокассеты и видеокассеты,https://www.ozon.ru/product/adapter-rtm-r39664-red-nab-1-4-dyuyma-2-sht-512110419/,19881,"Тип : Аудиокассета
Страна-изготовитель : Франция
",174173,Адаптер RTM R39664 RED NAB 1/4 дюйма (2 шт.),https://cdn1.ozone.ru/s3/multimedia-b/6265666079.jpg
16,Recording the Masters,Аудиокассеты и видеокассеты,https://www.ozon.ru/product/adapter-rtm-r39661-silver-nab-1-4-dyuyma-2-sht-522304271/,19881,"Тип : Аудиокассета
Страна-изготовитель : Франция
",174173,Адаптер RTM R39661 SILVER NAB 1/4 дюйма (2 шт.),https://cdn1.ozone.ru/s3/multimedia-i/6263387214.jpg
17,"",Предусилители,https://www.ozon.ru/product/audio-bluetooth-usilitel-50wx2-244168939/,3995,"Тип : Предусилитель
Мин. частота, Гц : 20
Макс. частота, Гц : 20000
Выходная мощность : 100
Макс. выходное сопротивление, Ом : 4
Интерфейсы : 3.5 мм, USB 2.0, RCA
Вид питания : От сети 220В через адаптер
Партномер : 50WX2
Цвет : Черный
",24160,Аудио Bluetooth усилитель 50WX2,https://cdn1.ozone.ru/s3/multimedia-a/6050599522.jpg
18,"",Усилители мощности,https://www.ozon.ru/product/xh-a901-ne5532-tone-board-preamp-preamp-s-platoy-predusilitelya-treble-bass-401416116/,942,"Тип : Усилитель мощности
Партномер : 3253099
Цвет : Черный
",214751,XH-A901 NE5532 Tone Board Preamp Preamp с платой предусилителя Treble Bass,https://cdn1.ozone.ru/s3/multimedia-h/6157707341.jpg
19,Digma,MP3-плееры,https://www.ozon.ru/product/pleer-hi-fi-flash-digma-s4-8gb-chernyy-seryy-1-8-fm-microsdhc-217653237/,2653,"Тип : MP3 плеер
Объем встроенной памяти : 8 ГБ
Форматы аудио : MP3
FM-радио : есть
Функции : Диктофон
Регулировки звука : Громкость воспроизведения
Вес товара, г : 32
Питание : От аккумулятора
Цвет : Серый
Тип карты памяти : microSD
",2523,"Плеер Hi-Fi Flash Digma S4 8Gb черный/серый/1.8""/FM/microSDHC",https://cdn1.ozone.ru/s3/multimedia-e/6024100142.jpg
20,"",Рации и радиостанции,https://www.ozon.ru/product/antenna-ultrakompaktnaya-diamond-srh805s-sma-female-253044269/,593,"Тип : Радиостанция
Радиус действия, м : 3000
Артикул : 100338
Цвет : Черный
Гарантийный срок : 14
Диапазон частот, МГц : 136-174 МГц + 400-480 МГц, 1200 MHz
",121789,Антенна ультракомпактная Diamond SRH805S (SMA - Female) 136-174 / 400-480 / 1200 MHz,https://cdn1.ozone.ru/s3/multimedia-w/6197269628.jpg
21,Celestron,Окуляры,https://www.ozon.ru/product/yustirovochnyy-okulyar-celestron-1-25-210641761/,6974,"Тип : Окуляр
Гарантийный срок : 1 год
",24633,"Юстировочный окуляр Celestron, 1,25",https://cdn1.ozone.ru/s3/multimedia-e/6030477326.jpg
22,Sky-Watcher,Окуляры,https://www.ozon.ru/product/okulyar-sky-watcher-plossl-7-5-mm-1-25-384810004/,7557,"Тип : Окуляр
Фокусное расстояние, мм : 7.5
Гарантийный срок : 6 мес.
",182596,"Окуляр Sky-Watcher Plossl 7,5 мм, 1,25""",https://cdn1.ozone.ru/s3/multimedia-3/6076253691.jpg
23,Микромед,Окуляры,https://www.ozon.ru/product/videookulyar-toupcam-14-0-mp-380374942/,33262,"Тип : Окуляр
Гарантийный срок : 1 год
",254229,Видеоокуляр ToupCam 14.0 MP,https://cdn1.ozone.ru/s3/multimedia-t/6028843769.jpg
24,MXQ,Цифро-аналоговые преобразователи,https://www.ozon.ru/product/smart-tv-pristavka-android-tv-box-mxq-pro-5g-1-8gb-tsvet-chernyy-479992898/,2199,"Тип : Цифро-аналоговый преобразователь
Особенности : Поддержка 4K
Партномер : 06932
Цвет : Черный
Страна-изготовитель : Китай
",174724,"Смарт ТВ приставка Android TV Box MXQ Pro 5G 1/8GB, цвет черный",https://cdn1.ozone.ru/s3/multimedia-g/6129626836.jpg
25,Dynavox,Усилители мощности,https://www.ozon.ru/product/dynavox-mt-50-sl-570239919/,10771,"Тип : Интегральный усилитель
Партномер : MT-50 SL
Цвет : Серебристый
",231504,Dynavox MT-50 SL,https://cdn1.ozone.ru/s3/multimedia-b/6116869259.jpg
365,"",Аксессуары для телескопов,https://www.ozon.ru/product/monokulyarnyy-teleskop-434319147/,926,"",185411,Монокулярный телескоп ,https://cdn1.ozone.ru/s3/multimedia-o/6183011208.jpg
26,SMSL,Усилители мощности,https://www.ozon.ru/product/usilitel-smsl-da-8s-577226425/,14990,"Тип : Интегральный усилитель
Регулировки звука : Громкость воспроизведения
Схемотехника : Транзисторный
Вид питания : От сети 220В
Партномер : amp-smsl-ds8s
Цвет : Серебристый
Страна-изготовитель : Китай
",164072,Усилитель SMSL DA-8s,https://cdn1.ozone.ru/s3/multimedia-m/6306814306.jpg
27,"",MP3-плееры,https://www.ozon.ru/product/15wx2-plata-usilitelya-bluetooth-plata-dekodera-mp3-priemnik-bluetooth-5-0-wav-ape-flac-451759739/,575,"Тип : MP3 плеер
Цвет : Чернить
Артикул : SZ-OZ5N-I279876
",291043,15Wx2 Плата усилителя Bluetooth  плата декодера MP3  приемник Bluetooth 5 0  WAV  APE  FLAC  декодирование звука  USB  TF  FM  AUX,https://cdn1.ozone.ru/s3/multimedia-j/6145749403.jpg
28,Goodly,Петличные,https://www.ozon.ru/product/mikrofon-petlichnyy-dlya-mobilnogo-ustroystva-goodly-clip-on-razem-jack-3-5-mm-vsenapravlennyy-220203715/,759,"Тип : Микрофон
Технология микрофона : Конденсаторный
Интерфейсы и разъемы : Apple Lightning
Крепление микрофона : Петличный
Диаграмма направленности : Кардиоида
Подключение : Проводное
Вид микрофона : петличный
Особенности : Крепление на одежду
Партномер : 10513
Цвет : Черный
",46833,"Петличный микрофон Goodly Clip-on, разъем Lighting, всенаправленный с ветрозащитой, креплением на одежду для записи звука на устройствах Apple",https://cdn1.ozone.ru/s3/multimedia-5/6207115817.jpg
29,"",Аксессуары для телескопов,https://www.ozon.ru/product/telefon-teleskop-chernyy-404183770/,2977,"",180908,"Телефон Телескоп ,  черный",https://cdn1.ozone.ru/s3/multimedia-z/6158910227.jpg
30,levenhuk,Окуляры,https://www.ozon.ru/product/okulyar-levenhuk-plossl-12-mm-1-25-382077800/,5229,"Тип : Окуляр
Фокусное расстояние, мм : 12
Цвет : Черный
Гарантийный срок : 6 мес.
Страна-изготовитель : Китай
",261175,"Окуляр Levenhuk Plossl 12 мм, 1,25""",https://cdn1.ozone.ru/s3/multimedia-p/6096438373.jpg
31,levenhuk,Окуляры,https://www.ozon.ru/product/linza-barlou-levenhuk-3x-ed-1-25-476006770/,6247,"Тип : Окуляр
Оптическая схема : Ахроматическая
Макс. увеличение, крат : 3
Конструктивные особенности : Многослойное покрытие линз, Низкодисперсные линзы
Принадлежности в комплекте : Линза Барлоу
Гарантийный срок : 6 месяцев
Страна-изготовитель : Китай
",253108,"Линза Барлоу Levenhuk 3x, ED, 1,25""",https://cdn1.ozone.ru/s3/multimedia-p/6135501325.jpg
32,Robotcomp,Системные блоки,https://www.ozon.ru/product/sistemnyy-blok-robotcomp-kalibr-v2-intel-core-i7-12700f-3-6-ggts-ram-32-gb-ssd-480-gb-hdd-2000-292124371/,227528,"Процессор : Intel Core i7-12700F (3.6 ГГц)
Оперативная память : 32 ГБ
Общий объем SSD, ГБ : 480
Общий объем HDD, ГБ : 2000
Видеокарта : NVIDIA GeForce RTX 3060 (12 Гб)
ОС (краткое название) : Windows
Тип памяти : DDR4
Число ядер процессора : 12
Тип видеокарты : Дискретная
Оптический привод : Отсутствует
",2756,"Системный блок Robotcomp КАЛИБР V2 (Intel Core i7-12700F (3.6 ГГц), RAM 32 ГБ, SSD 480 ГБ, HDD 2000 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows)",https://cdn1.ozone.ru/s3/multimedia-p/6241472221.jpg
33,"",Чехлы для плееров и аудиосистем,https://www.ozon.ru/product/sumka-keys-dlya-hraneniya-portativnoy-blyutuz-kolonki-jbl-pulse-4-dorozhnaya-sumka-dlya-462670217/,2023,"Тип : Чехол для портативной АС
Материал : Текстиль
Внешние размеры, мм : 300
Размеры основного отделения, мм : 220
Цвет : Черный
Вес товара, г : 230
Гарантийный срок : 6 месяцев
Страна-изготовитель : Китай
",193106,Сумка (кейс) для хранения портативной (блютуз) колонки  JBL Pulse 4 / Дорожная сумка для переноски JBL Pulse 4,https://cdn1.ozone.ru/s3/multimedia-s/6224695216.jpg
34,Klark Teknik,Предусилители,https://www.ozon.ru/product/klark-teknik-mic-booster-ct-1-mikrofonnyy-predusilitel-561253534/,4931,"Тип : Микрофонный предусилитель
Гарантийный срок : 1 год
Партномер : MIC BOOSTER CT 1
Цвет : Черный
Страна-изготовитель : Китай
",43484,Klark Teknik MIC BOOSTER CT 1 Микрофонный предусилитель,https://cdn1.ozone.ru/s3/multimedia-s/6248094280.jpg
35,Sunbuck,Усилители мощности,https://www.ozon.ru/product/bluetooth-usilitel-sunbuck-av-660bt-belyy-250018563/,4490,"Тип : Интегральный усилитель
Отношение сигнал/шум, дБ : 80
Мин. частота, Гц : 20
Макс. частота, Гц : 20000
Выходная мощность : 1200
Мин. выходное сопротивление, Ом : 4
Макс. выходное сопротивление, Ом : 16
Диапазон радио : FM
Интерфейсы : USB 2.0, RCA, 6.3 мм
Особенности : Bluetooth
",14634,"Bluetooth усилитель Sunbuck AV-660BT, белый",https://cdn1.ozone.ru/s3/multimedia-w/6054381920.jpg
36,"",Усилители мощности,https://www.ozon.ru/product/tsifrovoy-usilitel-zvuka-na-pam8610-klass-d-2x10wt-15wt-243513483/,529,"Тип : Усилитель мощности
",82160,Цифровой усилитель звука на PAM8610 (класс D) 2x10WT (15WT),https://cdn1.ozone.ru/s3/multimedia-0/6050214060.jpg
37,Raygood,Аксессуары для микрофонов,https://www.ozon.ru/product/aksessuar-dlya-mikrofona-raygood-ps13369-191009548/,799,"Тип : Аксессуар для микрофона
Гарантийный срок : 14 дней
Цвет : Черный
Страна-изготовитель : Россия
",34744,"Аксессуар для микрофона Raygood PS13369, черный",https://cdn1.ozone.ru/s3/multimedia-5/6021697349.jpg
38,Konus,Аксессуары для телескопов,https://www.ozon.ru/product/t2-koltso-konus-dlya-nikon-562505220/,2910,"Тип : Крепежное кольцо для телескопа
Гарантийный срок : 2 года
",261175,T2-кольцо Konus для Nikon,https://cdn1.ozone.ru/s3/multimedia-w/6086990648.jpg
40,levenhuk,Окуляры,https://www.ozon.ru/product/okulyar-levenhuk-ra-ler-3-mm-1-25-576849151/,13086,"Тип : Окуляр
Конструктивные особенности : Многослойное покрытие линз
Функциональные особенности оптического прибора : Регулируемые наглазники
Фокусное расстояние, мм : 3
Цвет : Черный
Гарантийный срок : 6 месяцев
",441731,"Окуляр Levenhuk Ra LER 3 мм, 1,25""",https://cdn1.ozone.ru/s3/multimedia-a/6178247674.jpg
41,"",Окуляры,https://www.ozon.ru/product/okulyar-teleskopa-sturman-pl20mm-1-25-570087717/,1866,"Тип : Окуляр
Фокусное расстояние, мм : 20
Гарантийный срок : 12
Страна-изготовитель : Китай
",364074,"Окуляр телескопа Sturman PL20mm 1,25'",https://cdn1.ozone.ru/s3/multimedia-4/6308789104.jpg
42,"",Окуляры,https://www.ozon.ru/product/monokulyary-40x60-mobilnyy-telefon-mozhno-zakrepit-440940570/,1041,"Тип : Окуляр
Тип телескопа : Катадиоптрик
Макс. увеличение, крат : 10
Фокусное расстояние телескопа, мм : 10
Конструктивные особенности : Крепление на штатив
Искатель : Нет
Принадлежности в комплекте : Штатив
Предельная звёздная величина (разрешение) : 10000
Цвет : Черный
",267369,Монокуляры 40X60 (мобильный телефон можно закрепить),https://cdn1.ozone.ru/s3/multimedia-m/6193998010.jpg
43,OPTIMCOM,Антенны для музыкальных центров,https://www.ozon.ru/product/avtomobilnaya-antenna-dlya-ratsii-optim-cb-82-mag-323680477/,2460,"Тип : Радиоантенна
Длина кабеля 1, м : 4
Длина антенны, см : 58
Страна-изготовитель : Россия
",175252, Автомобильная антенна для рации OPTIM CB-82 MAG,https://cdn1.ozone.ru/s3/multimedia-8/6104928056.jpg
44,Sunbuck,Усилители мощности,https://www.ozon.ru/product/bluetooh-usilitel-sunbuck-av-660bt-chernyy-250028047/,4490,"Тип : Интегральный усилитель
Отношение сигнал/шум, дБ : 80
Мин. частота, Гц : 20
Макс. частота, Гц : 20000
Выходная мощность : 1200
Мин. выходное сопротивление, Ом : 4
Макс. выходное сопротивление, Ом : 16
Диапазон радио : FM
Интерфейсы : USB 2.0, RCA, 6.3 мм
Особенности : Bluetooth
",14634,Bluetooh усилитель Sunbuck AV-660BT черный,https://cdn1.ozone.ru/s3/multimedia-c/6054383124.jpg
45,"",Усилители для наушников,https://www.ozon.ru/product/usilitel-dlya-naushnikov-tranzistornyy-vox-ap2-mt-amplug-2-metal-583531170/,5015,"Тип : Усилитель для наушников
Регулировки звука : Громкость воспроизведения
Интерфейсы : 3.5 мм
Вид питания : Сменная батарея
Партномер : AP2-MT AMPLUG 2 METAL
Цвет : Черный, серебристый
Звуковые эффекты : Реверберация
Страна-изготовитель : Япония
",205778,Усилитель для наушников транзисторный VOX AP2-MT AMPLUG 2 METAL,https://cdn1.ozone.ru/s3/multimedia-d/6283608337.jpg
46,"",MP3-плееры,https://www.ozon.ru/product/mini-usb-tsifrovoy-mp3-muzykalnyy-pleer-podderzhka-8gb-497464953/,600,"Тип : MP3 плеер
Цвет : Фиолетовый
Артикул : П000416
",94529,Mini  USB Цифровой Mp3 Музыкальный плеер Поддержка 8GB,https://cdn1.ozone.ru/s3/multimedia-f/6256786179.jpg
47,ALMA PRODUCTS,Петличные,https://www.ozon.ru/product/mikrofon-petlichnyy-alma-products-micro2-chernyy-566685935/,189,"Тип : Микрофон
Технология микрофона : Конденсаторный
Интерфейсы и разъемы : 3.5 мм
Подключение : Проводное
Вид микрофона : петличный
Особенности : Крепление на одежду
Партномер : 23671382
Цвет : Черный
Вес товара, г : 18
Страна-изготовитель : Китай
",121462,"Микрофон петличный ALMA PRODUCTS micro2, черный",https://cdn1.ozone.ru/s3/multimedia-e/6305833478.jpg
48,Sturman,Аксессуары для телескопов,https://www.ozon.ru/product/svetofiltr-sturman-svetlo-krasnyy-n23a-1-25-560871609/,1154,"Тип : Светофильтр для телескопа
Гарантийный срок : 1 год
",15336,"Светофильтр Sturman светло-красный N23А 1,25'",https://cdn1.ozone.ru/s3/multimedia-t/6300790217.jpg
49,Sky-Watcher,Аксессуары для телескопов,https://www.ozon.ru/product/adapter-sky-watcher-dlya-smartfona-c-okulyarom-20-mm-534636924/,5811,"Тип : Фотоадаптер для телескопа
Принадлежности в комплекте : Сменный окуляр
Гарантийный срок : 6 месяцев
Страна-изготовитель : Китай
",766,Адаптер Sky-Watcher для смартфона c окуляром 20 мм,https://cdn1.ozone.ru/s3/multimedia-d/6278299921.jpg
50,Sturman,Окуляры,https://www.ozon.ru/product/okulyar-teleskopa-k20mm-f31-75mm-562508363/,2414,"Тип : Окуляр
Гарантийный срок : 1 год
",261175,"Окуляр телескопа К20мм /Ф31,75мм",https://cdn1.ozone.ru/s3/multimedia-p/6300790213.jpg
51,levenhuk,Окуляры,https://www.ozon.ru/product/okulyar-levenhuk-plossl-40-mm-1-25-576850934/,7751,"Тип : Окуляр
Диаметр объектива, мм : 1.25
Конструктивные особенности : Многослойное покрытие линз
Фокусное расстояние, мм : 40
Партномер : 50764
Цвет : Черный
Гарантийный срок : 6 мес
",441731,"Окуляр Levenhuk Plossl 40 мм, 1,25""",https://cdn1.ozone.ru/s3/multimedia-8/6151128800.jpg
52,levenhuk,Окуляры,https://www.ozon.ru/product/linza-barlou-levenhuk-3x-ed-1-25-332397395/,6587,"Тип : Окуляр
Оптическая схема : Ахроматическая
Макс. увеличение, крат : 3
Конструктивные особенности : Многослойное покрытие линз, Низкодисперсные линзы
Принадлежности в комплекте : Линза Барлоу
Гарантийный срок : 6 месяцев
Страна-изготовитель : Китай
",766,"Линза Барлоу Levenhuk 3x, ED, 1,25""",https://cdn1.ozone.ru/s3/multimedia-9/6135501309.jpg
134,"",Антивибрационные подставки,https://www.ozon.ru/product/tekstolit-fr4-1-1-5mm-100h150-odnostoronniy-491243741/,360,"Тип : Антивибрационная подставка
",161826,"текстолит FR4-1 1.5мм, 100х150 односторонний",https://cdn1.ozone.ru/s3/multimedia-2/6251692562.jpg
53,Sky-Watcher,Аксессуары для телескопов,https://www.ozon.ru/product/linza-barlou-sky-watcher-2x-s-adapterom-dlya-kamery-583321956/,9691,"Тип : Окуляр, Фотоадаптер для телескопа
Гарантийный срок : 6 месяцев
Страна-изготовитель : Китай
",123664,"Линза Барлоу Sky-Watcher 2x, с адаптером для камеры",https://cdn1.ozone.ru/s3/multimedia-8/6111203900.jpg
54,РЭМО,Антенны для музыкальных центров,https://www.ozon.ru/product/naruzhnaya-fm-antenna-remo-bas-1358-efir-365053762/,1425,"Тип : Радиоантенна
Размещение : Уличная
Коэффициент усиления антенны, dBi : 4
Размеры, мм : 1376х310х100
Вес товара, г : 1200
Гарантийный срок : 12 месяцев
Страна-изготовитель : Россия
",14688,Наружная FM антенна РЭМО BAS-1358 Эфир,https://cdn1.ozone.ru/s3/multimedia-9/6011322117.jpg
55,Mobicent,Аудио конвертеры,https://www.ozon.ru/product/razem-shteker-mini-jack-3-5-mm-papa-stereo-3-pin-s-pruzhinoy-metall-serebristyy-578366930/,282,"Тип : Аудио конвертер
Материал корпуса : Металл
Интерфейсы : 3.5 мм
Вес товара, г : 10
Цвет : Серебристый
Партномер : MCTC310065
Гарантийный срок : 1 месяц
Страна-изготовитель : Китай
",77502,"Разъем штекер mini-jack 3.5 мм (папа) стерео (3 pin) с пружиной, металл, серебристый",https://cdn1.ozone.ru/s3/multimedia-3/6315804279.jpg
56,SMSL,Цифро-аналоговые преобразователи,https://www.ozon.ru/product/tsap-smsl-su-6-black-577139250/,14900,"Тип : Цифро-аналоговый преобразователь
ЦАП : ES9038Q2M
Разрядность ЦАП : 32 бит
Регулировки звука : Громкость воспроизведения
Схемотехника : Транзисторный
Макс. частота, Гц : 99990
Вид питания : От сети 220В
Партномер : dac0022
Цвет : Черный
",164072,ЦАП SMSL SU-6 black,https://cdn1.ozone.ru/s3/multimedia-u/6306797538.jpg
57,TurboSky,Рации и радиостанции,https://www.ozon.ru/product/komplekt-ratsiy-2-sht-turbosky-t25-blue-ratsiya-turbosky-t25-sinego-tsveta-281166035/,2999,"Тип : Радиостанция
Диапазон : PMR
Мощность передатчика : 0.5 Вт
Количество каналов : 8
Радиус действия, м : 5000
Функции : Сканирование, мониторинг, шумоподавление
Питание от : аккумулятора
Экран : Цифровой LCD дисплей с подсветкой
Вид питания : Батареи/аккумуляторы тип AAA
Макс. время работы,  ч : 24
",78517,Комплект раций 2 шт TurboSky T25 BLUE. Рация TurboSky T25 синего цвета. ,https://cdn1.ozone.ru/s3/multimedia-g/6189467944.jpg
